Arnage,Pays de la Loire,47.92776528,0.19015012
Arnèke,Nord Pas de Calais,50.83174127,2.40826326
Arpajon (Essonne),Ile de France,48.58613792,2.24048889
Arras,Nord Pas de Calais,50.28670958,2.78189512
Arrou,Centre,48.10050699,1.12919978
Ars-sur-Moselle,Lorraine,49.07444793,6.07847885
Artenay (Loiret),Centre,48.08095488,1.88302837
Artix,Aquitaine,43.39205417,-0.57055216
Arvant,Auvergne,45.3661516,3.31096686
Ascq,Nord Pas de Calais,50.62197392,3.15902328
Asnières-sur-Seine,Ile de France,48.90530364,2.2837837
Aspres-sur-Buëch,Provence-Alpes-CA,44.51903603,5.75469695
Assat,Aquitaine,43.25463791,-0.29521344
Assier,Midi-Pyrénées,44.67367391,1.87073106
Athis-Mons,Ile de France,48.71235485,2.40309682
Aubagne,Provence-Alpes-CA,43.29607342,5.56632221
Aubazine-St-Hilaire,Limousin,45.18177098,1.64172759
Aubergenville-Élisabethville,Ile de France,48.97187147,1.84767885
Aubervilliers-La Courneuve,Ile de France,48.92409625,2.38554126
Aubiat,Auvergne,45.98402159,3.16031001
Aubie-St-Antoine,Aquitaine,45.01506655,-0.41968836
Aubiet,Midi-Pyrénées,43.65015682,0.78920087
Aubigné-Racan,Pays de la Loire,47.68668876,0.26654799
Aubigny-au-Bac,Nord Pas de Calais,50.26846695,3.1585394
Aubigny-en-Artois,Nord Pas de Calais,50.3530704,2.59285652
Aubin,Midi-Pyrénées,44.52728971,2.23902092
Aubin-St-Vaast,Nord Pas de Calais,50.3941,1.9710541
Auboué,Lorraine,49.21631021,5.97155868
Aubrives,Champagne-Ardenne,50.10360049,4.76085206
Aubusson,Limousin,45.96091667,2.16050462
Auch,Midi-Pyrénées,43.64738648,0.59706597
Auchy-lès-Hesdin,Nord Pas de Calais,50.39212737,2.08841545
Audrieu,Basse-Normandie,49.21609672,-0.59645982
Audruicq,Nord Pas de Calais,50.87534593,2.077352
Audun-le-Roman,Lorraine,49.36645998,5.89137689
Audun-le-Tiche,Lorraine,49.47807891,5.95760117
Auffay,Haute-Normandie,49.71599119,1.09819856
Augy-Vaux,Bourgogne,47.76632402,3.6109989
Aulnay-sous-Bois,Ile de France,48.93211863,2.49453652
Aulnoye-Aymeries,Nord Pas de Calais,50.19721269,3.84375332
Aumale,Haute-Normandie,49.76475557,1.7561338
Aumont-Aubrac,Languedoc-Roussillon,44.71674698,3.28520746
Auneau,Centre,48.44544724,1.77976137
Auray,Bretagne,47.68011549,-2.99918559
Aurec,Auvergne,45.37115691,4.19832932
Aurillac,Auvergne,44.92074988,2.43562598
Auterive,Midi-Pyrénées,43.34884218,1.46863467
Autun,Bourgogne,46.95525646,4.29297333
Auvers-sur-Oise,Ile de France,49.07091663,2.17650077
Auxerre-St-Gervais,Bourgogne,47.79752745,3.58552427
Auxonne,Bourgogne,47.19221079,5.37765393
Avallon,Bourgogne,47.49585452,3.91263968
Avenay,Champagne-Ardenne,49.06454222,4.04328196
Avenue-Foch,Ile de France,48.87140018,2.2756804
Avenue-Henri-Martin,Ile de France,48.86494141,2.27211387
Avesnelles,Nord Pas de Calais,50.1197999,3.94605299
Avesnes,Nord Pas de Calais,50.12653878,3.93373623
Avignon,Provence-Alpes-CA,43.94116661,4.80632981
Avignonet,Midi-Pyrénées,43.36389759,1.78776792
Avignon-TGV,Provence-Alpes-CA,43.92193706,4.78581215
Avion,Nord Pas de Calais,50.40648846,2.83333388
Avord,Centre,47.03485376,2.6523351
Avoudrey,Franche-Comté,47.12984312,6.43461486
Avenue du Pdt Kennedy,Ile de France,48.85356972,2.27964079
Avranches,Basse-Normandie,48.69041735,-1.36997273
Avrechy,Picardie,49.44501979,2.4179893
Ax-les-Thermes,Midi-Pyrénées,42.72503208,1.83366277
Ay,Champagne-Ardenne,49.0487925,4.00165507
Aytré-Plage,Poitou-Charentes,46.12754163,-1.12829266
Azay-le-Rideau,Centre,47.26700532,0.44792066
Azay-sur-Cher,Centre,47.36518982,0.85946498
Azerailles,Lorraine,48.49099581,6.6967367
Baccarat,Lorraine,48.45226368,6.74405438
Bagnac,Midi-Pyrénées,44.66515797,2.16074421
Bagneaux-sur-Loing,Ile de France,48.23046701,2.70340173
Bagnols-Chadenet,Languedoc-Roussillon,44.52831692,3.62814735
Baillargues,Languedoc-Roussillon,43.65310366,4.00667174
Bailleau-le-Pin,Centre,48.3667476,1.32471762
Bailleul (Nord),Nord Pas de Calais,50.72899746,2.73406106
Bailleul-Sire-Berthoult,Nord Pas de Calais,50.33475766,2.84096525
Bains-les-Bains,Lorraine,47.98122281,6.29519488
Bainville,Lorraine,48.58599514,6.0995406
Baisieux,Nord Pas de Calais,50.61860369,3.23521669
Balagny-St-Épin,Picardie,49.29317111,2.34535707
Balbigny,Rhône-Alpes,45.81757256,4.18782525
Ballan,Centre,47.33676111,0.6180878
Ballancourt,Ile de France,48.53233619,2.37136922
Ballersdorf,Alsace,47.61985256,7.1551518
Balsièges-Bourg,Languedoc-Roussillon,44.48227572,3.45686299
Banassac-La Canourgue,Languedoc-Roussillon,44.44598492,3.19705245
Bandol,Provence-Alpes-CA,43.14037039,5.74995434
Bannalec,Bretagne,47.92651409,-3.70672824
Banyuls-sur-Mer,Languedoc-Roussillon,42.48262251,3.12441386
Baraqueville-Carcenac-Peyralès,Midi-Pyrénées,44.27024369,2.42726432
Barentin,Haute-Normandie,49.55017266,0.9533055
Barenton-Bugny,Picardie,49.63067671,3.65560138
Barjac,Languedoc-Roussillon,44.49936087,3.41056536
Bar-le-Duc,Lorraine,48.7731699,5.16780946
Baroncourt,Lorraine,49.28449262,5.69969843
Barr,Alsace,48.403053,7.45691131
Barsac,Aquitaine,44.60413673,-0.32060584
Barsanges,Limousin,45.56599865,2.01882298
Bar-sur-Aube,Champagne-Ardenne,48.23852401,4.70687861
Bartenheim,Alsace,47.63478433,7.4876719
Bas-Évette,Franche-Comté,47.68086352,6.80691884
Bas-Monistrol,Auvergne,45.29796638,4.13958253
Basse-Ham,Lorraine,49.38052958,6.23494952
Bassens-Ville,Aquitaine,44.90130902,-0.52239219
Batz-sur-Mer,Pays de la Loire,47.28090666,-2.47940713
Baule,Centre,47.81148919,1.66783631
Baume-les-Dames,Franche-Comté,47.35405165,6.35911524
Bauvin-Provin,Nord Pas de Calais,50.51163397,2.90501737
Bayard,Champagne-Ardenne,48.5515228,5.07628495
Bayeux,Basse-Normandie,49.26944724,-0.69730663
Bayon,Lorraine,48.46765491,6.32219095
Bayonne,Aquitaine,43.49701795,-1.4701944
Bazancourt,Champagne-Ardenne,49.36112838,4.17415502
Baziège,Midi-Pyrénées,43.45317873,1.62122722
Bazoches,Picardie,49.30522658,3.61421588
Béard,Bourgogne,46.8650444,3.31786503
Beaucaire,Languedoc-Roussillon,43.80215457,4.64740515
Beaugency,Centre,47.77824617,1.6257149
Beaulieu-sur-Mer,Provence-Alpes-CA,43.70679277,7.3317909
Beau-Marais,Nord Pas de Calais,50.9455267,1.89980271
Beaumont-le-Roger,Haute-Normandie,49.07441562,0.77227819
Beaune,Bourgogne,47.02303354,4.84872818
Beaurainville,Nord Pas de Calais,50.42263118,1.89542494
Beautiran,Aquitaine,44.70139396,-0.45090331
Beauvais,Picardie,49.4262266,2.0879441
Beauvoir-sur-Niort,Poitou-Charentes,46.1767034,-0.46915434
Beauvoisin,Languedoc-Roussillon,43.72494296,4.32204685
Beauzac,Auvergne,45.23567458,4.09426402
Bécon-les-Bruyères,Ile de France,48.90582701,2.26831018
Bédarieux,Languedoc-Roussillon,43.60507408,3.14760695
Bédarrides,Provence-Alpes-CA,44.04274347,4.89371872
Bedous,Aquitaine,43.00055555,-0.60111111
Bègles,Aquitaine,44.79977903,-0.55533268
Beillant,Poitou-Charentes,45.70096341,-0.52729418
Reims-Beine-Farman,Champagne-Ardenne,49.24397001,4.07097029
Beinheim,Alsace,48.87411094,8.07884778
Belfort,Franche-Comté,47.63250746,6.85413921
Bellac,Limousin,46.12555839,1.04633203
Bellegarde (Ain),Rhône-Alpes,46.11005787,5.82360131
Belle-Isle-Bégard,Bretagne,48.59334661,-3.32310326
Bellenaves,Auvergne,46.19953844,3.06659761
Belleville,Lorraine,48.81945151,6.10170617
Belleville-sur-Saône,Rhône-Alpes,46.11175057,4.72858994
Belleville-Vendée,Pays de la Loire,46.78826339,-1.43462655
Bellevue,Ile de France,48.81877,2.23010152
Bellignat,Rhône-Alpes,46.23878567,5.63017293
Belloy-St-Martin,Ile de France,49.09832644,2.36124139
Belvès,Aquitaine,44.77729754,1.01190359
Belvezet,Languedoc-Roussillon,44.56186275,3.75188669
Belz-Ploemel,Bretagne,47.6525035,-3.07221919
Béna-Fanès,Languedoc-Roussillon,42.45797309,1.91803016
Bénesse-Maremne,Aquitaine,43.62761496,-1.37028931
Bénestroff,Lorraine,48.90621742,6.75063244
Benfeld,Alsace,48.37380301,7.58437756
Bengy,Centre,47.00009394,2.74970009
Béning,Lorraine,49.13814004,6.827892
Bergerac,Aquitaine,44.85727614,0.48876634
Bergues,Nord Pas de Calais,50.96846434,2.4257667
Berguette-Isbergues,Nord Pas de Calais,50.61495439,2.46295993
Berlaimont,Nord Pas de Calais,50.19767979,3.81062087
Bernay,Haute-Normandie,49.08698862,0.59573305
Berre,Provence-Alpes-CA,43.50088217,5.17891271
Bersac,Limousin,46.08369889,1.43203369
Berthelming,Lorraine,48.81081833,7.00653612
Bertrichamps,Lorraine,48.42848646,6.79127884
Bertry,Nord Pas de Calais,50.09099312,3.44899185
Besançon-Mouillère,Franche-Comté,47.24092865,6.03405516
Besançon-Viotte,Franche-Comté,47.24720928,6.0215831
Beslé,Pays de la Loire,47.69919894,-1.87027965
Bessancourt,Ile de France,49.03546158,2.21027426
